"cons.1","cons.2","cons.3","cons.4","cons.5","cons.6","cons.7","cons.8","cons.9","cons.10","cons","frug","tight"
2,4,2,4,4,1,2,2,4,2,2.7,3.55555555555556,3.875
4,4,4,5,5,4,3,3,4,3,3.9,4.77777777777778,5
4,5,3,4,4,1,2,4,4,3,3.4,4.7037037037037,5
4,4,4,4,4,2,2,4,4,4,3.6,3.96296296296296,4
4,4,3,4,3,2,3,4,4,3,3.4,3.55555555555556,3.5
3,4,4,4,3,3,4,5,4,4,3.8,3.77777777777778,3.125
4,4,4,4,4,3,4,5,5,3,4,3.74074074074074,3.5
4,4,2,3,4,3,4,4,4,5,3.7,4.51851851851852,4.625
2,4,4,4,4,4,4,4,3,4,3.7,3.96296296296296,3.875
4,4,3,5,4,2,4,5,5,5,4.1,3.77777777777778,3.75
4,3,2,4,4,4,2,4,4,4,3.5,3.66666666666667,4
4,4,2,4,4,3,4,5,4,5,3.9,4.66666666666667,4.625
3,4,3,4,4,2,3,4,4,4,3.5,3.14814814814815,3.625
3,4,1,4,3,4,5,5,4,5,3.8,3.55555555555556,3.125
4,4,2,4,4,3,3,4,4,4,3.6,3.88888888888889,3.875
3,4,4,4,3,2,2,4,4,3,3.3,4.48148148148148,4.25
3,3,5,3,3,2,1,3,3,3,2.9,3.81481481481481,4.375
4,5,4,4,4,4,4,4,4,4,4.1,4,3.875
2,4,2,4,5,2,3,4,4,4,3.4,3.92592592592593,4.25
4,4,2,3,4,3,5,5,5,5,4,4.11111111111111,3.875
4,4,2,4,4,4,3,5,4,5,3.9,4.33333333333333,3.75
2,4,2,3,3,2,4,4,3,3,3,3.2962962962963,2.875
4,4,4,5,4,4,4,5,4,5,4.3,4,4
2,4,2,4,4,2,3,4,4,5,3.4,2.92592592592593,3
4,5,5,5,4,4,4,5,5,5,4.6,4.07407407407407,4.25
4,5,3,4,4,4,3,4,4,4,3.9,4.44444444444444,4.875
2,5,2,4,3,2,4,4,4,5,3.5,3.66666666666667,3.625
3,4,3,3,3,2,2,3,4,4,3.1,3.33333333333333,3.75
3,4,3,3,3,3,3,4,3,4,3.3,4.2962962962963,4.75
2,4,2,4,4,2,4,5,4,5,3.6,4.40740740740741,4.75
3,4,2,4,4,3,3,4,5,5,3.7,3.48148148148148,3.875
3,4,2,4,4,2,3,4,4,4,3.4,3.66666666666667,3.75
5,5,5,5,5,5,5,5,5,5,5,4.85185185185185,4.5
4,3,4,4,5,3,4,4,4,5,4,3.77777777777778,4.125
